"village";"slug";"code_postal";"coordonnees";"region";"country";"year"
"Frontino";"frontino";"NULL";"43.764642,12.378031";"Marche";"Italia";"NULL"
"Frosolone";"frosolone";"NULL";"41.599494,14.448173";"Molise";"Italia";"NULL"
"Furore";"furore";"NULL";"40.61885,14.55254";"Campania";"Italia";"NULL"
"Gangi";"gangi";"NULL";"37.795065,14.2045713";"Sicilia";"Italia";"NULL"
"Garbagna";"garbagna";"NULL";"44.782710,8.998894";"Piemonte";"Italia";"NULL"
"Garessio";"garessio";"NULL";"44.204842872444,8.0148160457611";"Piemonte";"Italia";"NULL"
"Gerace";"gerace";"NULL";"38.27131,16.21976";"Calabria";"Italia";"NULL"
"Geraci Siculo";"geraci siculo";"NULL";"37.85732,14.1542";"Sicilia";"Italia";"NULL"
"Giglio Castello";"giglio castello";"NULL";"42.36705,10.9";"Toscana";"Italia";"NULL"
"Giove";"giove";"NULL";"42.510687821379,12.33161687851";"Umbria";"Italia";"NULL"
"Glorenza";"glorenza";"NULL";"46.67095,10.55489";"Trentino Alto Adige";"Italia";"NULL"
"Gradara";"gradara";"NULL";"43.93891,12.77125";"Marche";"Italia";"NULL"
"Gradella";"gradella";"NULL";"45.42472,9.53107";"Lombardia";"Italia";"NULL"
"Gradisca d´Isonzo";"gradisca d´isonzo";"NULL";"45.89174,13.4913";"Friuli Venezia Giulia";"Italia";"NULL"
"Gromo";"gromo";"NULL";"45.9650185,9.9281296";"Lombardia";"Italia";"NULL"
"Grottammare";"grottammare";"NULL";"42.990091109965,13.869777917862";"Marche";"Italia";"NULL"
"Gualtieri";"gualtieri";"NULL";"44.902092,10.631404";"Emilia Romagna";"Italia";"NULL"
"Guardia Perticara";"guardia perticara";"NULL";"40.358407764827,16.100023984909";"Basilicata";"Italia";"NULL"
"Introdacqua";"introdacqua";"NULL";"42.0085,13.89901";"Abruzzo";"Italia";"NULL"
"Laigueglia";"laigueglia";"NULL";"43.9798518,8.1584444";"Liguria";"Italia";"NULL"
"Lingueglietta";"lingueglietta";"NULL";"43.8669678,7.9297293";"Liguria";"Italia";"NULL"
"Locorotondo";"locorotondo";"NULL";"40.75585,17.32629";"Puglia";"Italia";"NULL"
