village;slug;code_postal;coordonnees;region;country;year
Tournemire;tournemire-15;15310;45.0547955278,2.49043476858;Auvergne;France;
Tourtour;tourtour;83690;43.5935800875,6.310682972;"Provence-Alpes-Côte d'Azur";France;
Turenne;turenne;19500;45.0610532957,1.57106480469;Limousin;France;
Usson;usson;63490;45.5273145167,3.3428220129;Auvergne;France;
Venasque;venasque;84210;43.9851237661,5.16506865588;"Provence-Alpes-Côte d'Azur";France;
Vézelay;vezelay;89450;47.4524539513,3.71058845441;Bourgogne;France;
Villefranche-de-Conflent;villefranche-de-conflent;66500;42.5964793448,2.3599348086;Languedoc-Roussillon;France;
Vogüé;vogüe;07200;44.5576610723,4.41089587827;Rhône-Alpes;France;
Vouvant;vouvant;85120;46.5626835135,-0.764380170382;"Pays de la Loire";France;
Yèvre-la-Ville;yevre-la-ville;45300;48.1427599293,2.32302626395;Centre;France;
Yvoire;yvoire;74140;46.3635082871,6.33214094024;Rhône-Alpes;France;
Aínsa;ainsa;;42.414694,0.140381;;Espana;
Albarracín;albarracin;;40.407558,-1.443876;;Espana;
AlcaládelJúcar;alcaladeljúcar;;39.191786,-1.429577;;Espana;
Almagro;almagro;;38.888431,-3.711781;;Espana;
Alquézar;alquezar;;42.173010,0.025362;;Espana;
Anento;anento;;41.648823,-0.889085;;Espana;
Ansó;anso;;42.755658,-0.828961;;Espana;
Ayllón;ayllon;;41.420019,-3.376055;;Espana;
BárcenaMayor;barcenamayor;;43.143767,-4.193300;;Espana;
Calaceite;calaceite;;41.015848,0.187639;;Espana;
Candelario;candelario;;40.368294,-5.744319;;Espana;
Cantavieja;cantavieja;;40.525361,-0.404861;;Espana;
ElCastelldeGuadalest;elcastelldeguadalest;;38.676964,-0.198324;;Espana;
Frías;frias;;42.762311,-3.294207;;Espana;
Frigiliana;frigiliana;;36.790875,-3.894706;;Espana;
LaAlberca;laalberca;;40.489267,-6.110723;;Espana;
Llastres;llastres;;43.513920,-5.270550;;Espana;
LucainenadelasTorres;lucainenadelastorres;;37.040793,-2.201005;;Espana;
Maderuelo;maderuelo;;41.483685,-3.524356;;Espana;
Medinaceli;medinaceli;;41.171721,-2.433843;;Espana;
Mogarraz;mogarraz;;40.492678,-6.051706;;Espana;
Mojácar;mojacar;;37.140279,-1.850733;;Espana;
Morella;morella;;40.618139,-0.101549;;Espana;
Pampaneira;pampaneira;;36.939625,-3.360934;;Espana;
Pedraza;pedraza;;41.130710,-3.811474;;Espana;
Peñíscola;peniscola;;40.366883,0.391317;;Espana;
Puertomingalvo;puertomingalvo;;40.264862,-0.459967;;Espana;
RubielosdeMora;rubielosdemora;;40.190127,-0.654184;;Espana;
SantillanadelMar;santillanadelmar;;43.387333,-4.106609;;Espana;
Tejeda;tejeda;;27.996224,-15.615229;;Espana;
Urueña;uruena;;41.728335,-5.201225;;Espana;
Valderrobres;valderrobres;;40.873333,0.153595;;Espana;
ValverdedelosArroyos;valverdedelosarroyos;;41.129188,-3.232910;;Espana;
VejerdelaFrontera;vejerdelafrontera;;36.252034,-5.966736;;Espana;
Vilafamés;vilafames;;40.113899,-0.051908;;Espana;
Amatrice;amatrice;;42.629034,13.289651;Lazio;Italia;
"Vallo di Nera";"vallo di nera";;42.75574,12.86526;Umbria;Italia;
Trevi;trevi;;42.87664,12.74522;Umbria;Italia;
Torgiano;torgiano;;43.025788406071,12.433873414993;Umbria;Italia;
Stroncone;stroncone;;42.499187404058,12.66338467598;Umbria;Italia;
Spello;spello;;42.99107992976,12.67245054245;Umbria;Italia;
"San Gemini";"san gemini";;42.609706213394,12.542942762375;Umbria;Italia;
Panicale;panicale;;43.029043280902,12.098457813263;Umbria;Italia;
Paciano;paciano;;43.0234,12.06949;Umbria;Italia;
Norcia;norcia;;42.7942,13.09634;Umbria;Italia;
Montone;montone;;43.36248,12.32741;Umbria;Italia;
Montefalco;montefalco;;42.89333,12.65005;Umbria;Italia;
"Monte Castello di Vibio";"monte castello di vibio";;42.840738383803,12.352334260941;Umbria;Italia;
"Massa Martana";"massa martana";;42.775164628485,12.524038553238;Umbria;Italia;
"Lugnano in Teverina";"lugnano in teverina";;42.574012908489,12.330651283264;Umbria;Italia;
Giove;giove;;42.510687821379,12.33161687851;Umbria;Italia;
Deruta;deruta;;42.9814074,12.4161111;Umbria;Italia;
Corciano;corciano;;43.12816,12.28616;Umbria;Italia;
Citerna;citerna;;43.498386562319,12.115623950958;Umbria;Italia;
"Castiglione del Lago";"castiglione del lago";;43.12798,12.04674;Umbria;Italia;
"Borgo antico di Sant´Antonio di Perugia ospit";"borgo antico di sant´antonio di perugia ospite onorario 2014/2015";;43.114894,12.38843;Umbria;Italia;
Bevagna;bevagna;;42.93497,12.60933;Umbria;Italia;
Bettona;bettona;;43.013371238522,12.484406232834;Umbria;Italia;
Arrone;arrone;;42.583959169488,12.768151760101;Umbria;Italia;
Acquasparta;acquasparta;;42.687990,12.549858;Umbria;Italia;
Visso;visso;;42.9303,13.0887;Marche;Italia;
Treia;treia;;43.31182199321,13.311266899109;Marche;Italia;
Servigliano;servigliano;;43.080741,13.492136;Marche;Italia;
Sarnano;sarnano;;43.034258563838,13.296825885773;Marche;Italia;
"San Ginesio";"san ginesio";;43.10743,13.32608;Marche;Italia;
Offida;offida;;42.93726031465,13.698492050171;Marche;Italia;
Offagna;offagna;;43.527226,13.441536;Marche;Italia;
Moresco;moresco;;43.08529,13.7301;Marche;Italia;
Montelupone;montelupone;;43.34291,13.57008;Marche;Italia;
"Montefiore dell´Aso";"montefiore dell´aso";;43.04972,13.75;Marche;Italia;
Montecosaro;montecosaro;;43.3173965,13.637735;Marche;Italia;
Montefabbri;montefabbri;;43.8124575,12.6986185;Marche;Italia;
Montecassiano;montecassiano;;43.363596951441,13.436161279678;Marche;Italia;
"Monte Grimano Terme";"monte grimano terme";;43.865487,12.473048;Marche;Italia;
Mondolfo;mondolfo;;43.752497,13.093371;Marche;Italia;
Mondavio;mondavio;;43.675508,12.969782;Marche;Italia;
"Macerata Feltria";"macerata feltria";;43.803294,12.440870;Marche;Italia;
Grottammare;grottammare;;42.990091109965,13.869777917862;Marche;Italia;
Gradara;gradara;;43.93891,12.77125;Marche;Italia;
