village;slug;code_postal;coordonnees;region;country;year
Triora;triora;;43.99232,7.76673;Liguria;Italia;
Tellaro;tellaro;;44.0597,9.93688;Liguria;Italia;
Seborga;seborga;;43.825803,7.694708;Liguria;Italia;
Noli;noli;;44.20566,8.41634;Liguria;Italia;
Montemarcello;montemarcello;;44.046103016711,9.9658226966858;Liguria;Italia;
Moneglia;moneglia;;44.228309,9.5292357;Liguria;Italia;
Millesimo;millesimo;;44.36438,8.20597;Liguria;Italia;
Lingueglietta;lingueglietta;;43.8669678,7.9297293;Liguria;Italia;
Laigueglia;laigueglia;;43.9798518,8.1584444;Liguria;Italia;
Framura;framura;;44.208958,9.554329;Liguria;Italia;
Finalborgo;finalborgo;;44.17702,8.32501;Liguria;Italia;
"Colletta di Castelbianco";"colletta di castelbianco";;44.113156631527,8.0748331546783;Liguria;Italia;
Cervo;cervo;;43.92725,8.11522;Liguria;Italia;
Castelvecchio;castelvecchio;;44.13064,8.11656;Liguria;Italia;
"Campo Ligure";"campo ligure";;44.536768138018,8.7009358406067;Liguria;Italia;
Brugnato;brugnato;;44.236644194241,9.7217631340027;Liguria;Italia;
"Borgio Verezzi";"borgio verezzi";;44.158517256382,8.30925822258;Liguria;Italia;
Volpedo;volpedo;;44.89141,8.98217;Piemonte;Italia;
Apricale;apricale;;43.881934,7.656083;Liguria;Italia;
Vogogna;vogogna;;46.01045,8.29096;Piemonte;Italia;
Usseaux;usseaux;;45.0486092,7.0266968;Piemonte;Italia;
"Ricetto di Candelo";"ricetto di candelo";;45.54477,8.10961;Piemonte;Italia;
Ostana;ostana;;44.692942269851,7.1872365474701;Piemonte;Italia;
"Orta San Giulio";"orta san giulio";;45.79932,8.41945;Piemonte;Italia;
Neive;neive;;44.72746,8.11346;Piemonte;Italia;
Mombaldone;mombaldone;;44.57187,8.33653;Piemonte;Italia;
Garessio;garessio;;44.204842872444,8.0148160457611;Piemonte;Italia;
Garbagna;garbagna;;44.782710,8.998894;Piemonte;Italia;
Chianale;chianale;;44.621693,7.032402;Piemonte;Italia;
